Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-05-13 Tue 21:35:18, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988118, 0, 0, 0, 893, 8|9|10|17|46|, 17|8|10|46|46|9|9|46|8|9|10|8|10|17|17|17|9|17|46|8|17|46|10|46|9|8|46|46|17|9|46|17|17|46|8|17|46|9|17|8|17|10|8|17|9|10|46|46|9|17|
2014-05-13 Tue 21:40:02, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988402, 0.001, 0, 0, 1453, 35|33|45|5|15|, 35|5|5|5|15|5|5|5|5|5|45|33|45|35|35|15|45|35|15|15|35|15|45|5|5|33|5|5|15|33|33|35|15|33|15|35|5|5|35|35|35|45|5|35|45|45|33|33|45|35|
2014-05-13 Tue 21:40:08, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988408, 0.001, 0, 0, 1650, 5|37|26|44|16|, 16|5|44|37|44|5|44|5|5|16|26|5|16|16|37|26|16|26|16|5|37|26|44|26|5|44|26|26|44|37|26|16|26|26|5|26|26|37|26|5|16|44|5|16|44|44|26|26|16|26|
2014-05-13 Tue 21:40:13, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988413, 0.001, 0, 0, 1502, 21|11|43|7|0|, 0|11|43|21|7|11|11|7|7|43|43|11|43|0|43|21|7|43|21|7|43|21|43|21|11|21|21|21|21|11|21|43|7|21|11|0|11|11|43|0|43|7|11|43|43|43|21|21|43|11|
2014-05-13 Tue 21:40:16, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988416, 0.001, 0, 0, 1459, 31|38|17|11|47|, 31|11|31|11|47|11|47|11|11|38|31|11|38|31|38|47|38|17|47|31|17|47|31|11|11|47|11|11|38|17|47|31|11|47|38|17|11|38|38|17|31|31|11|31|38|31|47|47|38|17|
2014-05-13 Tue 21:40:19, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988419, 0.001, 0, 0, 1433, 41|15|24|47|22|, 15|24|41|24|47|24|22|24|24|22|41|41|22|41|15|15|22|15|47|24|15|47|22|47|24|47|24|47|15|24|47|41|15|47|41|15|24|24|15|22|41|41|24|15|22|41|47|47|24|15|
2014-05-13 Tue 21:40:20, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988420, 0.001, 0, 0, 957, 44|46|20|10|19|, 20|19|10|44|46|19|44|19|19|44|10|19|10|20|20|20|44|20|10|19|20|46|44|46|44|46|46|46|46|44|46|20|20|46|19|20|46|44|20|19|20|10|19|20|44|10|46|46|46|20|
2014-05-13 Tue 21:40:22, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988422, 0, 0, 0, 1071, 0|43|30|1|48|, 0|1|43|30|30|1|48|1|1|48|48|1|48|0|43|0|48|43|30|1|43|30|48|30|48|30|48|30|43|43|30|30|0|30|1|0|1|48|48|1|43|48|1|43|48|43|30|30|48|0|
2014-05-13 Tue 21:40:24, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988424, 0.001, 0, 0, 1285, 7|21|41|10|9|, 10|7|10|21|10|9|9|7|7|9|10|7|10|10|9|21|9|21|10|7|10|21|41|21|9|41|10|21|10|9|21|10|21|21|7|21|21|9|21|7|10|41|7|21|9|41|21|21|9|10|
2014-05-13 Tue 21:40:45, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988445, 0, 0, 0, 1123, 25|12|40|1|7|, 40|1|12|40|25|1|12|7|7|12|12|1|12|40|40|25|12|40|25|7|40|25|12|1|1|25|1|1|25|40|25|40|25|25|1|40|1|12|12|1|40|12|1|1|12|12|25|25|12|12|
2014-05-13 Tue 21:40:47, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=31|To=12|Tc=1|D=23), 1600, 2000, 1399988447, 0, 0, 0, 1300, 32|9|1|10|19|, 32|1|10|1|10|1|9|32|19|9|10|1|10|10|19|32|9|19|9|19|32|32|10|1|9|32|1|1|32|9|32|10|32|32|1|32|1|9|32|1|10|10|10|1|9|10|32|32|9|32|
